Grand Prix,Driver,Car,Time,year,Code,Year
Great Britain,Nino  Farina ,Alfa Romeo,1:50.600,1950.0,FAR,
Monaco,Juan Manuel  Fangio ,Alfa Romeo,1:51.000,1950.0,FAN,
Indianapolis 500,Johnnie Parsons ,Kurtis Kraft Offenhauser,,1950.0,PAR,
Switzerland,Nino  Farina ,Alfa Romeo,2:41.600,1950.0,FAR,
Belgium,Nino  Farina ,Alfa Romeo,4:34.100,1950.0,FAR,
France,Juan Manuel  Fangio ,Alfa Romeo,2:35.600,1950.0,FAN,
Italy,Juan Manuel  Fangio ,Alfa Romeo,2:00.000,1950.0,FAN,
Switzerland,Juan Manuel  Fangio ,Alfa Romeo,2:51.100,1951.0,FAN,
Indianapolis 500,Lee  Wallard ,Kurtis Kraft Offenhauser,1:07.260,1951.0,WAL,
Belgium,Juan Manuel  Fangio ,Alfa Romeo,4:22.100,1951.0,FAN,
France,Juan Manuel  Fangio ,Alfa Romeo,2:27.800,1951.0,FAN,
Great Britain,Nino  Farina ,Alfa Romeo,1:44.000,1951.0,FAR,
Germany,Juan Manuel  Fangio ,Alfa Romeo,9:55.800,1951.0,FAN,
Italy,Nino  Farina ,Alfa Romeo,1:56.500,1951.0,FAR,
Spain,Juan Manuel  Fangio ,Alfa Romeo,2:16.930,1951.0,FAN,
Switzerland,Piero Taruffi ,Ferrari,2:49.100,1952.0,TAR,
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.600,1952.0,VUK,
Belgium,Alberto  Ascari ,Ferrari,4:55.000,1952.0,ASC,
France,Alberto  Ascari ,Ferrari,2:17.300,1952.0,ASC,
Great Britain,Alberto  Ascari ,Ferrari,1:52.000,1952.0,ASC,
Germany,Alberto  Ascari ,Ferrari,10:05.100,1952.0,ASC,
Netherlands,Alberto  Ascari ,Ferrari,1:49.800,1952.0,ASC,
Italy,Alberto  Ascari ,Ferrari,2:06.100,1952.0,ASC,
Argentina,Alberto  Ascari ,Ferrari,1:48.400,1953.0,ASC,
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240,1953.0,VUK,
Netherlands,Luigi Villoresi ,Ferrari,1:52.800,1953.0,VIL,
Belgium,Jose Froilan  Gonzalez ,Maserati,4:34.000,1953.0,GON,
